rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,angle_min,angle_max,angle_increment,time_increment,scan_time,range_min,range_max,ranges,intensities
1555425840417985189,,3552,,1555425840,417813062,"""cf6""",-3.14159274101,3.14159274101,1.57079637051,0.0250000003725,0.0,0.0,3.5,"[inf, inf, inf, inf]",[]
1555425840433352475,,3553,,1555425840,433191061,"""cf6""",-3.14159274101,3.14159274101,1.57079637051,0.0250000003725,0.0,0.0,3.5,"[inf, inf, inf, inf]",[]
1555425840446951604,,3554,,1555425840,446753978,"""cf6""",-3.14159274101,3.14159274101,1.57079637051,0.0250000003725,0.0,0.0,3.5,"[inf, inf, inf, inf]",[]
1555425840462592332,,3555,,1555425840,462424993,"""cf6""",-3.14159274101,3.14159274101,1.57079637051,0.0250000003725,0.0,0.0,3.5,"[0.4779999852180481, inf, 0.9210000038146973, inf]",[]
1555425840482167395,,3556,,1555425840,481615066,"""cf6""",-3.14159274101,3.14159274101,1.57079637051,0.0250000003725,0.0,0.0,3.5,"[inf, 0.3529999852180481, inf, 1.7879999876022339]",[]
1555425840511474554,,3557,,1555425840,511282920,"""cf6""",-3.14159274101,3.14159274101,1.57079637051,0.0250000003725,0.0,0.0,3.5,"[inf, inf, inf, inf]",[]
1555425840526332223,,3558,,1555425840,526179075,"""cf6""",-3.14159274101,3.14159274101,1.57079637051,0.0250000003725,0.0,0.0,3.5,"[inf, inf, inf, inf]",[]
1555425840541564670,,3559,,1555425840,541399002,"""cf6""",-3.14159274101,3.14159274101,1.57079637051,0.0250000003725,0.0,0.0,3.5,"[inf, inf, inf, inf]",[]
1555425840557132957,,3560,,1555425840,556713104,"""cf6""",-3.14159274101,3.14159274101,1.57079637051,0.0250000003725,0.0,0.0,3.5,"[0.48899999260902405, inf, 0.9359999895095825, inf]",[]
1555425840565554898,,3561,,1555425840,565382957,"""cf6""",-3.14159274101,3.14159274101,1.57079637051,0.0250000003725,0.0,0.0,3.5,"[0.4950000047683716, 0.3490000069141388, 0.9710000157356262, 1.7910000085830688]",[]
1555425840572509517,,3562,,1555425840,572062015,"""cf6""",-3.14159274101,3.14159274101,1.57079637051,0.0250000003725,0.0,0.0,3.5,"[inf, 0.3449999988079071, inf, 1.7829999923706055]",[]
1555425840581181867,,3563,,1555425840,580940008,"""cf6""",-3.14159274101,3.14159274101,1.57079637051,0.0250000003725,0.0,0.0,3.5,"[inf, inf, inf, inf]",[]
1555425840589788453,,3564,,1555425840,589622020,"""cf6""",-3.14159274101,3.14159274101,1.57079637051,0.0250000003725,0.0,0.0,3.5,"[inf, inf, inf, inf]",[]
1555425840603412347,,3565,,1555425840,603028059,"""cf6""",-3.14159274101,3.14159274101,1.57079637051,0.0250000003725,0.0,0.0,3.5,"[0.5049999952316284, inf, 0.9940000176429749, inf]",[]
1555425840616466222,,3566,,1555425840,616082906,"""cf6""",-3.14159274101,3.14159274101,1.57079637051,0.0250000003725,0.0,0.0,3.5,"[inf, 0.34700000286102295, inf, 1.7740000486373901]",[]
1555425840641541792,,3567,,1555425840,641360044,"""cf6""",-3.14159274101,3.14159274101,1.57079637051,0.0250000003725,0.0,0.0,3.5,"[inf, inf, inf, inf]",[]
1555425840657027242,,3568,,1555425840,656822919,"""cf6""",-3.14159274101,3.14159274101,1.57079637051,0.0250000003725,0.0,0.0,3.5,"[inf, inf, inf, inf]",[]
1555425840670102182,,3569,,1555425840,669934988,"""cf6""",-3.14159274101,3.14159274101,1.57079637051,0.0250000003725,0.0,0.0,3.5,"[inf, inf, inf, inf]",[]
1555425840685691465,,3570,,1555425840,685127973,"""cf6""",-3.14159274101,3.14159274101,1.57079637051,0.0250000003725,0.0,0.0,3.5,"[0.5099999904632568, inf, 1.065999984741211, inf]",[]
1555425840705073139,,3571,,1555425840,704478025,"""cf6""",-3.14159274101,3.14159274101,1.57079637051,0.0250000003725,0.0,0.0,3.5,"[inf, inf, inf, 1.7719999551773071]",[]
1555425840717804976,,3572,,1555425840,717628002,"""cf6""",-3.14159274101,3.14159274101,1.57079637051,0.0250000003725,0.0,0.0,3.5,"[inf, inf, inf, inf]",[]
1555425840733513316,,3573,,1555425840,733330965,"""cf6""",-3.14159274101,3.14159274101,1.57079637051,0.0250000003725,0.0,0.0,3.5,"[inf, inf, inf, inf]",[]
1555425840752872418,,3574,,1555425840,752684116,"""cf6""",-3.14159274101,3.14159274101,1.57079637051,0.0250000003725,0.0,0.0,3.5,"[inf, inf, inf, inf]",[]
1555425840776402429,,3575,,1555425840,776000022,"""cf6""",-3.14159274101,3.14159274101,1.57079637051,0.0250000003725,0.0,0.0,3.5,"[0.5180000066757202, inf, 1.1410000324249268, inf]",[]
1555425840789554060,,3576,,1555425840,789084911,"""cf6""",-3.14159274101,3.14159274101,1.57079637051,0.0250000003725,0.0,0.0,3.5,"[inf, 0.34599998593330383, inf, 1.7660000324249268]",[]
1555425840803014886,,3577,,1555425840,802829980,"""cf6""",-3.14159274101,3.14159274101,1.57079637051,0.0250000003725,0.0,0.0,3.5,"[inf, inf, inf, inf]",[]
1555425840816404891,,3578,,1555425840,816195964,"""cf6""",-3.14159274101,3.14159274101,1.57079637051,0.0250000003725,0.0,0.0,3.5,"[inf, inf, inf, inf]",[]
1555425840832356691,,3579,,1555425840,832154989,"""cf6""",-3.14159274101,3.14159274101,1.57079637051,0.0250000003725,0.0,0.0,3.5,"[inf, inf, inf, inf]",[]
1555425840845532238,,3580,,1555425840,845345973,"""cf6""",-3.14159274101,3.14159274101,1.57079637051,0.0250000003725,0.0,0.0,3.5,"[0.5239999890327454, inf, 1.149999976158142, inf]",[]
1555425840868575158,,3581,,1555425840,865950107,"""cf6""",-3.14159274101,3.14159274101,1.57079637051,0.0250000003725,0.0,0.0,3.5,"[inf, 0.3490000069141388, inf, 1.7680000066757202]",[]
1555425840877536670,,3582,,1555425840,877155065,"""cf6""",-3.14159274101,3.14159274101,1.57079637051,0.0250000003725,0.0,0.0,3.5,"[inf, inf, inf, inf]",[]
1555425840899752552,,3583,,1555425840,899436950,"""cf6""",-3.14159274101,3.14159274101,1.57079637051,0.0250000003725,0.0,0.0,3.5,"[inf, inf, inf, inf]",[]
1555425840912731638,,3584,,1555425840,912580966,"""cf6""",-3.14159274101,3.14159274101,1.57079637051,0.0250000003725,0.0,0.0,3.5,"[inf, inf, inf, inf]",[]
